                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.99027,                0.46141,                0.98671,                 1.0857,                 0.4611,                 1.0028,                0.65234,                 0.6411,                0.64653,                0.44469,                 1.1385,                0.49821,                 1.0792,                 1.1841,                0.51624,                 1.0986,             0.00028608,             0.00028608,             0.00028608
                     78,                0.98504,                0.46222,                0.98753,                 1.0782,                0.46105,                 1.0015,                 0.6032,                0.64603,                0.64476,                0.44364,                 1.1412,                0.49941,                  1.082,                 1.1843,                0.52825,                 1.0983,             0.00027508,             0.00027508,             0.00027508
                     79,                 0.9827,                   0.46,                0.98704,                 1.0822,                0.46518,                  1.001,                0.61546,                 0.6212,                0.64348,                0.44259,                 1.1438,                0.50333,                 1.0819,                 1.1898,                0.53031,                 1.0982,             0.00026408,             0.00026408,             0.00026408
                     80,                0.97751,                0.45299,                 0.9853,                 1.0704,                0.44988,                 1.0007,                0.61431,                0.63018,                0.64363,                0.44304,                 1.1418,                0.50013,                 1.0804,                 1.1859,                0.52663,                 1.0982,             0.00025309,             0.00025309,             0.00025309
                     81,                0.97826,                 0.4527,                0.98262,                 1.0785,                0.45469,                0.99888,                0.65774,                0.62918,                0.64406,                0.44269,                 1.1417,                0.49932,                 1.0826,                 1.1873,                0.52515,                 1.1023,             0.00024209,             0.00024209,             0.00024209
                     82,                0.97682,                0.45179,                0.98232,                 1.0783,                 0.4514,                0.99884,                  0.635,                0.63965,                0.64267,                0.44066,                 1.1429,                0.50005,                 1.0825,                  1.188,                0.52847,                 1.1034,             0.00023109,             0.00023109,             0.00023109
                     83,                0.98141,                0.45227,                0.98022,                 1.0815,                0.45341,                0.99391,                0.60359,                0.64048,                0.64265,                0.44296,                 1.1389,                0.49791,                 1.0805,                 1.1845,                0.52857,                 1.1003,             0.00022009,             0.00022009,             0.00022009
                     84,                0.96919,                0.44807,                0.97969,                 1.0642,                0.44676,                0.99548,                0.65665,                0.63985,                0.64472,                0.44318,                 1.1429,                0.50172,                 1.0805,                 1.1876,                0.53145,                 1.1011,             0.00020909,             0.00020909,             0.00020909
                     85,                0.96889,                0.44886,                 0.9785,                 1.0621,                0.45345,                0.99393,                0.64492,                0.64284,                0.64496,                0.44358,                 1.1421,                 0.5009,                 1.0826,                  1.189,                0.52602,                 1.1029,             0.00019809,             0.00019809,             0.00019809
                     86,                0.96042,                0.44813,                0.97817,                 1.0581,                0.45261,                0.99274,                0.67327,                0.63541,                0.64646,                0.44455,                 1.1416,                0.50321,                 1.0831,                  1.189,                0.53234,                 1.1031,             0.00018709,             0.00018709,             0.00018709
                     87,                0.96203,                0.44711,                0.97936,                 1.0561,                0.45148,                0.99579,                 0.6404,                0.63737,                0.64502,                0.44232,                  1.144,                0.50417,                 1.0843,                 1.1922,                0.53344,                 1.1052,             0.00017609,             0.00017609,             0.00017609
                     88,                0.96152,                0.44163,                 0.9782,                 1.0542,                 0.4447,                0.99267,                0.63056,                0.63327,                0.64231,                0.44188,                 1.1445,                0.50751,                 1.0849,                 1.1908,                0.54211,                 1.1041,             0.00016509,             0.00016509,             0.00016509
                     89,                0.95601,                0.43871,                0.97489,                 1.0506,                0.43722,                0.98847,                0.61369,                0.62695,                0.64247,                 0.4409,                 1.1445,                0.50462,                 1.0839,                 1.1905,                0.54505,                 1.1014,              0.0001541,              0.0001541,              0.0001541
                     90,                0.96032,                   0.44,                0.97289,                  1.056,                 0.4402,                0.98666,                0.62456,                0.63281,                0.64136,                0.44066,                 1.1449,                0.50519,                 1.0846,                 1.1908,                0.54436,                 1.1028,              0.0001431,              0.0001431,              0.0001431
                     91,                0.94646,                0.39291,                0.97384,                 1.0099,                0.35537,                0.98639,                0.62352,                0.61229,                0.64109,                0.44001,                 1.1451,                0.50408,                 1.0822,                 1.1948,                0.54085,                 1.1032,              0.0001321,              0.0001321,              0.0001321
                     92,                0.93309,                0.38317,                0.97179,                0.99487,                0.34093,                0.98498,                 0.6074,                0.63439,                0.64062,                0.43993,                 1.1446,                  0.508,                 1.0828,                 1.1906,                0.55062,                 1.1035,              0.0001211,              0.0001211,              0.0001211
                     93,                0.93191,                0.38313,                0.96876,                0.99374,                0.33595,                0.98026,                0.60679,                0.64299,                0.64133,                0.44103,                 1.1427,                0.50914,                 1.0834,                 1.1895,                0.55248,                 1.1035,              0.0001101,              0.0001101,              0.0001101
                     94,                0.92356,                0.37948,                0.96533,                0.98627,                0.34075,                0.97648,                0.60967,                0.63852,                0.64116,                0.44017,                 1.1424,                0.50998,                 1.0836,                 1.1905,                0.55188,                 1.1031,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.91923,                0.37606,                0.96357,                0.98299,                0.33685,                 0.9753,                0.62426,                0.61558,                0.64105,                0.44079,                 1.1415,                0.51154,                 1.0819,                 1.1905,                 0.5499,                 1.1023,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.91779,                0.37635,                0.96377,                0.98024,                0.33542,                0.97527,                0.62253,                0.61354,                0.64137,                0.44024,                 1.1426,                0.51109,                 1.0831,                 1.1935,                0.55317,                 1.1043,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.91515,                0.37545,                0.96367,                0.97595,                 0.3322,                0.97573,                0.62366,                0.61356,                0.64146,                0.44106,                  1.143,                0.50957,                 1.0843,                 1.1932,                0.55116,                 1.1051,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.90766,                0.37118,                0.96165,                0.96863,                0.33254,                 0.9725,                0.61367,                0.63379,                0.64109,                0.44171,                  1.142,                0.50993,                 1.0828,                 1.1928,                0.55049,                  1.103,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.91075,                0.37143,                0.96101,                0.96856,                0.32592,                0.97219,                0.63766,                0.62258,                 0.6419,                0.44191,                 1.1433,                0.51035,                 1.0842,                 1.1925,                0.55239,                 1.1036,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                  0.907,                0.36949,                0.95895,                0.96556,                0.32751,                0.97055,                0.61711,                0.63194,                0.64173,                0.44076,                 1.1442,                0.50889,                  1.085,                 1.1907,                0.55936,                 1.1036,             3.3108e-05,             3.3108e-05,             3.3108e-05
